campaign_product_id,product_name,subscription_plan
38919,30 TOKEN PACK,lite
38920,40 TOKEN PACK,lite
38921,50 TOKEN PACK,lite
38922,60 TOKEN PACK,lite
38923,70 TOKEN PACK,lite
38924,80 TOKEN PACK,lite
38925,90 TOKEN PACK,lite
38926,100 TOKEN PACK,lite
38927,110 TOKEN PACK,lite
38928,120 TOKEN PACK,lite
38929,130 TOKEN PACK,lite
38930,140 TOKEN PACK,lite
38931,150 TOKEN PACK,lite
38932,160 TOKEN PACK,lite
38933,170 TOKEN PACK,lite
38934,180 TOKEN PACK,lite
38935,190 TOKEN PACK,lite
38936,200 TOKEN PACK,lite
38937,210 TOKEN PACK,lite
38938,220 TOKEN PACK,lite
38939,230 TOKEN PACK,lite
38940,240 TOKEN PACK,lite
38941,250 TOKEN PACK,lite
38942,260 TOKEN PACK,lite
38943,270 TOKEN PACK,lite
38944,280 TOKEN PACK,lite
38945,290 TOKEN PACK,lite
38946,300 TOKEN PACK,lite
38947,310 TOKEN PACK,lite
38948,320 TOKEN PACK,lite
38949,330 TOKEN PACK,lite
38950,340 TOKEN PACK,lite
38951,350 TOKEN PACK,lite
38952,360 TOKEN PACK,lite
38953,370 TOKEN PACK,lite
38954,380 TOKEN PACK,lite
38955,390 TOKEN PACK,lite
38956,400 TOKEN PACK,lite
38957,410 TOKEN PACK,lite
38958,420 TOKEN PACK,lite
38959,430 TOKEN PACK,lite
38960,440 TOKEN PACK,lite
38961,450 TOKEN PACK,lite
38962,460 TOKEN PACK,lite
38963,470 TOKEN PACK,lite
38964,480 TOKEN PACK,lite
38965,490 TOKEN PACK,lite
38966,500 TOKEN PACK,lite
38967,10 TOKEN PACK,pro
38968,20 TOKEN PACK,pro
38969,30 TOKEN PACK,pro
38970,40 TOKEN PACK,pro
38971,50 TOKEN PACK,pro
38972,60 TOKEN PACK,pro
38973,70 TOKEN PACK,pro
38974,80 TOKEN PACK,pro
38975,90 TOKEN PACK,pro
38976,100 TOKEN PACK,pro
38977,110 TOKEN PACK,pro
38978,120 TOKEN PACK,pro
38979,130 TOKEN PACK,pro
38980,140 TOKEN PACK,pro
38981,150 TOKEN PACK,pro
38982,160 TOKEN PACK,pro
38983,170 TOKEN PACK,pro
38984,180 TOKEN PACK,pro
38985,190 TOKEN PACK,pro
38986,200 TOKEN PACK,pro
38987,210 TOKEN PACK,pro
38988,220 TOKEN PACK,pro
38989,230 TOKEN PACK,pro
38990,240 TOKEN PACK,pro
38991,250 TOKEN PACK,pro
38992,260 TOKEN PACK,pro
38993,270 TOKEN PACK,pro
38994,280 TOKEN PACK,pro
38995,290 TOKEN PACK,pro
38996,300 TOKEN PACK,pro
38997,310 TOKEN PACK,pro
38998,320 TOKEN PACK,pro
38999,330 TOKEN PACK,pro
39000,340 TOKEN PACK,pro
39001,350 TOKEN PACK,pro
39002,360 TOKEN PACK,pro
39003,370 TOKEN PACK,pro
39004,380 TOKEN PACK,pro
39005,390 TOKEN PACK,pro
39006,400 TOKEN PACK,pro
39007,410 TOKEN PACK,pro
39008,420 TOKEN PACK,pro
39009,430 TOKEN PACK,pro
39010,440 TOKEN PACK,pro
39011,450 TOKEN PACK,pro
39012,460 TOKEN PACK,pro
39013,470 TOKEN PACK,pro
39014,480 TOKEN PACK,pro
39015,490 TOKEN PACK,pro
39016,500 TOKEN PACK,pro
